,iteration,metric,value,index,hyperparameters
0,full_train_raw_first_shot,,0.5166,model_name_or_path,sentence-transformers/paraphrase-mpnet-base-v2
1,eval_raw_first_shot,,0.501,dataset,SetFit/emotion
2,data_selector,1,0.729166666666666,train_dataset_size,5000
3,full_train_setfit_iteration,1,0.4172,random_seed,333
4,cur_train_setfit_iteration,1,0.729166666666666,dataset_train_split,train
5,full_train_first_shot_iteration,1,0.5098,dataset_test_split,test
6,eval_first_shot_iteration,1,0.4965,hypothesis_template,{}
7,eval_setfit_iteration,1,0.3935,multi_target_strategy,None
8,data_selector,2,0.760416666666666,use_differentiable_head,False
9,full_train_setfit_iteration,2,0.4042,num_iterations,20
10,cur_train_setfit_iteration,2,0.760416666666666,num_setfit_iterations,2
11,full_train_first_shot_iteration,2,0.4714,num_epochs,1
12,eval_first_shot_iteration,2,0.4545,samples_per_label,4
13,eval_setfit_iteration,2,0.3885,normalize_embeddings,False
14,data_selector,3,0.734375,selection_strategy,alternate
15,full_train_setfit_iteration,3,0.461,batch_size,8
16,cur_train_setfit_iteration,3,0.734375,var_samples_per_label,None
17,full_train_first_shot_iteration,3,0.478,var_selection_strategy,None
18,eval_first_shot_iteration,3,0.471,learning_rate,2e-05
19,eval_setfit_iteration,3,0.455,body_learning_rate,1e-06
20,,,,num_body_epochs,2
21,,,,freeze_head,False
22,,,,freeze_body,False
23,,,,train_first_shot,False
24,,,,allow_resampling,False
25,,,,growth_rate,2
26,,,,growth_threshold,0.05
27,,,,starting_n,8
28,,,,cluster_permissiveness,100.
